ALPHA 0.1
DATASET; TRAIN BACC; STD; TEST BACC; STD; ;; AVG INPUTS
ASP_data/GSE10694/GSE10694_5_res_02.log:CSV ; 0.921875 ; 0.0 ; 0.8571428571428571 ; 0.025253813613805257 ; 0.9285714285714286 ; 0.7857142857142857 ; 6.0


DATASET; TRAIN BACC; STD; TEST BACC; STD; ;; AVG INPUTS
ASP_data/GSE36681_FF/GSE36681_1_FF_res_02.log:CSV ; 0.9888888888888888 ; 1.1331166295920987e-16 ; 0.7745454545454545 ; 0.08348471099367219 ; 0.7563636363636363 ; 0.7927272727272726 ; 6.0
ASP_data/GSE36681_FF/GSE36681_2_FF_res_02.log:CSV ; 0.9888888888888889 ; 0.0 ; 0.7363636363636363 ; 0.03803000120609431 ; 0.9272727272727274 ; 0.5454545454545454 ; 6.0
ASP_data/GSE36681_FF/GSE36681_3_FF_res_02.log:CSV ; 1.0 ; 0.0 ; 0.7878787878787877 ; 0.06943296507508849 ; 0.8484848484848485 ; 0.7272727272727272 ; 6.0
ASP_data/GSE36681_FF/GSE36681_4_FF_res_02.log:CSV ; 0.9777777777777777 ; 0.0 ; 0.9659090909090909 ; 0.022727272727272707 ; 0.9318181818181818 ; 1.0 ; 5.0
ASP_data/GSE36681_FF/GSE36681_5_FF_res_02.log:CSV ; 0.9886363636363639 ; 2.2388733033809317e-16 ; 0.7363387978142075 ; 0.055235874406889054 ; 0.7991803278688523 ; 0.6734972677595629 ; 6.0


DATASET; TRAIN BACC; STD; TEST BACC; STD; ;; AVG INPUTS
ASP_data/GSE36681_FFPE/GSE36681_1_FFPE_res_02.log:CSV ; 1.0 ; 0.0 ; 0.7407407407407408 ; 0.057377531054924644 ; 0.7592592592592592 ; 0.7222222222222222 ; 6.0
ASP_data/GSE36681_FFPE/GSE36681_2_FFPE_res_02.log:CSV ; 1.0 ; 0.0 ; 0.8148148148148149 ; 0.10924356447224164 ; 0.9259259259259259 ; 0.7037037037037037 ; 6.0
